speech,labels
"[1.41990953e-03 2.61722784e-03 2.70253862e-03 2.61735939e-03
 9.46978573e-03 2.01543510e-01 1.21873581e+00 3.65845275e+00
 2.35849895e+01 1.57571516e+01 3.64585953e+01 3.91770630e+01
 1.15532093e+01 3.21479011e+00 3.25096893e+00 7.90044248e-01
 2.18505120e+00 2.36562347e+00 4.27030623e-01 5.12760222e-01
 5.05568981e-01 3.86855990e-01 7.83526480e-01 4.76300097e+00
 6.56286478e+00 6.36287260e+00 8.42706394e+00 4.25572348e+00
 1.04503763e+00 1.39626288e+00 3.41718614e-01 7.75180832e-02
 4.91372645e-02 1.42326951e-01 2.17087817e+00 5.58683586e+00
 1.89526005e+01 8.98071861e+00 1.48042226e+00 3.43241513e-01
 1.75470695e-01 2.18682826e-01 2.59009790e+00 1.21324863e+01
 9.73916721e+00 2.88396311e+00 6.65117025e-01 6.81593001e-01
 1.50759184e+00 3.66338134e+00 2.70618725e+00 1.26891911e+00
 2.54160404e-01 3.90906222e-02 1.21586837e-01 1.83012083e-01
 6.41619936e-02 2.30716243e-02 7.01602697e-02 5.93339466e-02
 2.85762638e-01 1.62524414e+00 4.26812840e+00 7.78416574e-01
 3.86330098e-01 5.31971276e-01 1.74636737e-01 6.37749061e-02
 1.29650965e-01 4.81234819e-01 1.12197317e-01 3.84327918e-02
 8.66131634e-02 2.09877789e-01 2.13547368e-02 7.31652156e-02
 1.17087051e-01 3.53126749e-02 7.04832524e-02 6.77213818e-02
 1.10478833e-01 2.06522405e-01 2.62137949e-01 1.33502603e-01
 1.08436018e-01 1.43849403e-01 8.47751871e-02 7.10114986e-02
 8.69301111e-02 3.53474803e-02 2.31794789e-02 3.15297693e-02
 1.27533088e-02 2.01868191e-02 9.16556362e-03 7.23612320e-04
 1.73121563e-03 4.19591181e-03 7.65185431e-03 1.35845961e-02
 1.39232827e-02 5.32013737e-03 4.11883648e-03 5.66509599e-03
 5.15952008e-03 3.08178808e-03 1.22696697e-03 9.19342623e-04
 8.84068257e-04 5.72688831e-03 2.97331018e-03 1.11379975e-03
 4.07310156e-03 2.42839684e-03 1.56254426e-03 5.64778398e-04
 1.77507958e-04 6.08291535e-04 6.69040601e-04 7.86321529e-04
 6.16751902e-04 5.16943983e-04 8.73498444e-04 3.59724188e-04
 3.80538724e-04 2.40923488e-04 9.84814833e-05 6.89177068e-06]",happiness
"[3.24125588e-03 3.61590390e-03 3.84094403e-03 8.76513775e-03
 3.52398194e-02 4.08301413e-01 3.66139722e+00 1.64868164e+01
 2.40156231e+01 1.48609915e+01 2.45108414e+01 3.04883060e+01
 3.39686966e+01 1.15200930e+01 7.03088236e+00 8.34815407e+00
 8.41780949e+00 4.35816813e+00 1.48908949e+00 2.44495916e+00
 9.62308502e+00 1.02906399e+01 2.84198523e+00 3.82504129e+00
 3.55565453e+00 1.57111292e+01 1.94376144e+01 1.48186674e+01
 3.80629039e+00 1.31644559e+00 3.03631663e-01 3.93882304e-01
 4.78131711e-01 3.40346217e+00 2.93128586e+01 2.81379471e+01
 5.82470751e+00 2.58327007e+00 2.32654834e+00 5.00623798e+00
 2.26415396e+00 1.01284943e+01 1.23186960e+01 2.26550150e+00
 1.71066248e+00 8.24951267e+00 4.10169363e+00 1.33830595e+00
 3.92670918e+00 3.64227867e+00 5.88854313e-01 8.66083205e-01
 5.19472718e-01 1.44800341e+00 5.84616852e+00 3.32114577e+00
 4.11544979e-01 1.10584450e+00 2.04523349e+00 1.13824654e+00
 2.10510421e+00 2.57353044e+00 1.32364476e+00 1.60305703e+00
 2.85491705e+00 3.69772935e+00 1.29466498e+00 5.93251646e-01
 4.46145028e-01 2.58285105e-01 4.20482606e-01 3.70133787e-01
 9.21405777e-02 7.42007568e-02 1.25816032e-01 3.37808609e-01
 3.36956680e-01 5.51416874e-01 3.66506368e-01 2.08791271e-01
 6.55112267e-01 3.15091252e-01 1.29883558e-01 2.04684481e-01
 1.88551575e-01 8.24513808e-02 1.86745241e-01 2.72127986e-01
 2.09877551e-01 3.31177890e-01 3.55193049e-01 2.72829980e-01
 1.44734263e-01 5.99007234e-02 4.01168950e-02 2.80542243e-02
 1.81177482e-02 1.33676436e-02 5.71354618e-03 1.91755239e-02
 1.44616049e-02 1.22715235e-02 7.30947778e-03 7.96022266e-03
 1.98497884e-02 2.46824827e-02 2.83412077e-02 7.94069376e-03
 3.59511934e-03 3.83233512e-03 4.94362228e-03 1.11696590e-02
 1.78548563e-02 1.35531630e-02 3.21585778e-03 2.49881088e-03
 3.06473183e-03 2.28641205e-03 2.23136460e-03 9.19057894e-03
 1.91788543e-02 8.58015660e-03 3.69287957e-03 3.12921708e-03
 1.40103593e-03 2.30841781e-03 1.62017124e-03 1.57359711e-04]",happiness
"[3.88008752e-03 6.36382634e-03 9.22504533e-03 2.07435656e-02
 4.43945639e-02 1.30066529e-01 3.94189119e+00 1.72830448e+01
 3.09568691e+01 3.91254044e+01 4.04018669e+01 1.13759222e+01
 1.79099530e-01 7.71665037e-01 1.26698136e+00 1.94579050e-01
 4.15850699e-01 1.52712345e-01 2.64638126e-01 3.59524757e-01
 4.00494397e-01 8.37908089e-01 2.05006257e-01 9.07202512e-02
 3.17944199e-01 4.19885010e-01 3.15504760e-01 1.81152940e-01
 3.01626503e-01 1.93466559e-01 1.60294082e-02 9.18299705e-03
 6.68158904e-02 2.77784020e-01 6.11695409e-01 1.53857291e+00
 4.29861975e+00 1.87983155e+00 8.15807760e-01 8.81962299e-01
 5.40455699e-01 3.45720619e-01 1.44821143e+00 1.63886583e+00
 3.77711296e-01 1.90261826e-01 1.21211641e-01 1.03739418e-01
 1.67441532e-01 4.08851832e-01 2.17624575e-01 9.57696661e-02
 6.78315759e-02 4.98321913e-02 9.86181572e-02 5.97846508e-02
 1.08112013e-02 3.27794999e-02 4.70624901e-02 4.63815406e-02
 2.96022184e-02 2.51105465e-02 3.17794979e-02 6.37675524e-02
 8.99323598e-02 8.77436250e-02 3.50120142e-02 3.09669916e-02
 2.86877062e-02 3.20015699e-02 2.98777483e-02 2.28433013e-02
 7.19400076e-03 6.81440928e-04 1.63352280e-03 2.08782568e-03
 2.26130746e-02 1.94428995e-01 3.48123401e-01 1.69085905e-01
 1.43760175e-01 1.46947935e-01 1.33928984e-01 3.00532967e-01
 4.25233275e-01 1.71097010e-01 5.71323372e-02 6.30310327e-02
 2.64670942e-02 2.21968088e-02 1.75879747e-02 1.83700062e-02
 3.83119322e-02 4.18117829e-02 3.94716524e-02 3.01760864e-02
 1.56436060e-02 1.02382582e-02 6.07376965e-03 2.66915057e-02
 5.29133305e-02 2.33418681e-02 6.47951243e-03 1.20329391e-02
 5.00176027e-02 9.04288143e-02 2.50957049e-02 2.82739964e-03
 5.69243403e-03 1.32387262e-02 1.02006579e-02 5.61180059e-03
 8.42921901e-03 5.54558868e-03 3.84922139e-03 7.50462234e-04
 4.01551835e-04 9.40178637e-04 2.38402677e-03 2.09429115e-03
 2.67656823e-03 3.42825311e-03 1.31561363e-03 7.44514284e-04
 8.03849776e-04 5.37586107e-04 2.82742054e-04 4.28447165e-05]",sadness
"[1.83543563e-03 2.06834846e-03 2.48980126e-03 1.28189856e-02
 2.41123568e-02 4.26169187e-02 9.37093556e-01 9.90228367e+00
 8.59737587e+00 3.95236582e-01 4.31919321e-02 5.11072204e-02
 5.66137806e-02 7.55278766e-01 8.01875710e-01 1.25059831e+00
 3.44559145e+00 9.41331804e-01 6.05115332e-02 1.11186542e-02
 1.46579817e-02 8.56879354e-03 2.78456649e-03 5.76671138e-02
 7.37264454e-01 4.19533104e-01 2.61166215e-01 5.79629205e-02
 1.23070301e-02 5.87658631e-03 4.27146628e-03 4.55944650e-02
 2.70149183e+00 2.56920719e+00 1.13022558e-01 2.71479487e-02
 5.98309301e-02 1.03411488e-01 2.86169976e-01 4.66692269e-01
 1.20144682e+01 1.55635099e+01 1.61298633e+00 1.12405069e-01
 9.14493129e-02 6.53527677e-02 4.97360490e-02 1.69386685e+00
 1.62828648e+00 5.31222165e-01 9.29444283e-02 4.79891803e-03
 7.82261882e-03 1.29912570e-01 7.73534551e-02 7.16291973e-03
 8.53637792e-03 9.38443746e-03 3.82518582e-02 2.21790951e-02
 3.53314839e-02 2.54709367e-02 3.22894417e-02 4.24721837e-02
 4.41072546e-02 5.26162274e-02 4.15501781e-02 6.05832450e-02
 7.23868087e-02 4.43255790e-02 5.07430919e-02 4.55853418e-02
 3.38503495e-02 2.73689963e-02 5.50989620e-03 4.21295548e-03
 3.87263447e-02 6.39955699e-02 1.80678908e-02 3.45900282e-02
 4.43666913e-02 1.19337607e-02 1.47179076e-02 1.41842365e-02
 1.37272002e-02 2.56467946e-02 2.02032607e-02 3.82254533e-02
 3.32877934e-02 3.82526703e-02 3.68770137e-02 4.95493971e-02
 1.78873949e-02 7.93241151e-03 4.14153887e-03 1.89640990e-03
 1.03120261e-03 9.94576025e-04 2.68644909e-03 5.60011622e-03
 2.10935418e-02 5.06135896e-02 5.15748300e-02 3.52202877e-02
 1.75651461e-02 1.31385764e-02 2.37885918e-02 1.81568339e-02
 7.47140124e-03 3.15620005e-02 6.45897090e-02 5.66669144e-02
 8.31472408e-03 5.29605290e-03 1.03455614e-02 6.76404452e-03
 2.74074962e-03 6.47227932e-03 8.11943412e-03 5.81873301e-03
 2.28984114e-02 3.14501300e-02 2.22782958e-02 8.35170131e-03
 1.76973047e-03 1.00679242e-03 1.01041468e-03 1.69075181e-04]",sadness
"[1.47808786e-03 3.45039624e-03 4.88602696e-03 7.70432176e-03
 3.28585804e-02 1.06249356e+00 1.09105988e+01 4.20659981e+01
 2.01641655e+01 4.86374140e+00 2.25596476e+00 8.18238139e-01
 1.70050251e+00 8.43017006e+00 1.41764812e+01 8.04800987e+00
 2.25092530e+00 4.95043993e-01 2.37951055e-01 9.42250848e-01
 1.64208770e+00 4.01472598e-01 9.38992649e-02 6.97452873e-02
 3.42322066e-02 2.96116889e-01 2.98411250e+00 6.64296341e+00
 8.25003147e-01 5.20755887e-01 4.40839916e-01 2.84965128e-01
 1.51632041e-01 1.22018948e-01 1.54315338e-01 3.22026432e-01
 1.48474908e+00 3.93166780e+00 4.22489548e+00 2.98062515e+00
 1.58145559e+00 7.05772161e-01 3.53775203e-01 1.41823113e-01
 1.73081771e-01 4.15066779e-01 6.17178559e-01 1.18350959e+00
 9.97226357e-01 4.31667238e-01 2.33423710e-01 8.42101127e-02
 3.45698982e-01 1.89614862e-01 4.36049104e-02 2.36302186e-02
 9.00821611e-02 7.19007403e-02 2.85878126e-02 4.32283320e-02
 3.33520740e-01 2.37272039e-01 1.49109408e-01 5.11433899e-01
 5.45076728e-01 9.00506824e-02 4.58472699e-01 1.96397269e+00
 3.74469399e-01 2.38287151e-01 1.07483280e+00 4.49932873e-01
 1.48292214e-01 1.61377773e-01 1.38945822e-02 5.49002886e-02
 4.86163571e-02 6.22414686e-02 1.30100444e-01 6.60866052e-02
 2.89368946e-02 5.85755333e-02 1.28014222e-01 1.50307253e-01
 1.65065125e-01 6.46732450e-01 4.96327996e-01 2.90845633e-01
 1.85663432e-01 2.11590990e-01 1.37153223e-01 6.76211789e-02
 1.89155452e-02 2.14326791e-02 1.23600494e-02 1.62575450e-02
 1.00555830e-02 1.80151872e-02 4.74057719e-02 3.00535168e-02
 2.36506164e-02 1.85218509e-02 2.50727199e-02 1.51495226e-02
 2.90686488e-02 2.47038752e-02 1.27320634e-02 2.61329883e-03
 3.12018814e-03 7.49755045e-03 1.12796137e-02 5.84828435e-03
 5.86640509e-03 4.77356184e-03 1.12650753e-03 1.03290321e-03
 1.82710146e-03 1.13390444e-03 1.19376113e-03 2.05136021e-03
 1.62492495e-03 1.30079745e-03 8.42822890e-04 6.13271783e-04
 7.29814521e-04 6.96687435e-04 3.05952824e-04 2.11297393e-05]",anger
"[1.20547041e-02 5.89442858e-03 8.80348310e-03 1.52696818e-02
 4.73263450e-02 1.21416283e+00 6.85454988e+00 1.50619688e+01
 2.51891937e+01 2.89561729e+01 1.50332861e+01 2.65481148e+01
 3.21273193e+01 3.57984047e+01 4.28911171e+01 4.81955433e+00
 2.64033103e+00 4.25590086e+00 4.52878523e+00 7.74554634e+00
 6.36112499e+00 5.73479366e+00 3.55520821e+00 6.82186174e+00
 6.63277102e+00 3.09563565e+00 2.28771043e+00 7.61350584e+00
 3.72371459e+00 2.24173212e+00 1.64996886e+00 2.47006059e+00
 1.80757880e+00 3.56478071e+00 4.49332762e+00 7.24135923e+00
 1.43036222e+01 2.15292015e+01 3.14087772e+01 4.00719910e+01
 1.94522495e+01 1.42013664e+01 9.10691071e+00 6.19171667e+00
 5.79995966e+00 4.93050432e+00 7.99640274e+00 2.51636276e+01
 1.48761292e+01 2.95997357e+00 1.04913008e+00 3.55013490e-01
 8.24017107e-01 6.02898300e-01 5.98393261e-01 6.59858763e-01
 3.97370130e-01 2.73198396e-01 5.44536233e-01 1.66969550e+00
 2.93939519e+00 5.04139602e-01 3.38871658e-01 1.10662162e+00
 2.56329417e+00 1.18126953e+00 9.03917909e-01 2.32550359e+00
 9.16207373e-01 4.05781895e-01 1.26252544e+00 9.17719722e-01
 3.57539743e-01 3.07791710e-01 4.26956803e-01 7.47226179e-01
 4.70666081e-01 3.52372527e-01 3.10496181e-01 2.54360437e-01
 3.23121011e-01 5.60447514e-01 5.87390423e-01 8.69797170e-01
 1.78231394e+00 1.08404803e+00 9.21240747e-01 3.39202583e-01
 4.42122906e-01 4.24464494e-01 5.42445958e-01 3.59853178e-01
 2.30966151e-01 7.58440122e-02 3.38707119e-02 6.83732480e-02
 6.24609143e-02 5.46374060e-02 5.12712747e-02 4.40768898e-02
 3.83790284e-02 3.74504142e-02 4.89310585e-02 5.75721450e-02
 7.31797516e-02 5.89431264e-02 4.17122245e-02 2.90871225e-02
 4.28227112e-02 2.75986847e-02 2.03634892e-02 1.67738423e-02
 2.44229157e-02 1.36678452e-02 9.71695315e-03 9.20937117e-03
 8.87524057e-03 7.96905160e-03 7.60287372e-03 7.14913104e-03
 6.95563620e-03 5.86129725e-03 5.32643916e-03 6.04419503e-03
 5.53506147e-03 6.15490321e-03 4.05503903e-03 5.40935318e-04]",anger
"[1.76955224e-03 3.29926168e-03 6.58574654e-03 1.12375347e-02
 4.07815799e-02 1.01476237e-01 2.53718078e-01 5.81145430e+00
 2.37676506e+01 1.81341095e+01 1.55787790e+00 4.51523334e-01
 6.08486652e-01 9.46632147e-01 1.02063429e+00 5.54822147e-01
 2.17843223e+00 7.65728045e+00 1.57857847e+00 3.69324714e-01
 3.40059847e-01 3.41778368e-01 1.23200983e-01 2.12371707e-01
 7.46370554e-01 1.30808055e+00 3.60046577e+00 2.30676889e+00
 2.37874404e-01 6.91478252e-02 1.49159981e-02 3.00158896e-02
 6.46505952e-02 5.05647212e-02 1.02628812e-01 1.62435770e-01
 2.56653875e-01 4.34825361e-01 3.56995910e-01 2.88529545e-01
 3.12598675e-01 1.71137661e-01 2.43388355e-01 7.76922882e-01
 7.90951073e-01 4.96607184e-01 4.43251997e-01 4.56787616e-01
 2.75851250e-01 2.03546941e-01 1.89050004e-01 1.50165781e-01
 1.35021359e-01 7.61178359e-02 2.62308754e-02 1.54557228e-02
 6.16624318e-02 3.37610692e-02 1.16061037e-02 1.78931002e-02
 1.37694180e-01 1.73472747e-01 1.05835728e-01 1.09599046e-01
 2.29350269e-01 3.60315174e-01 2.74914950e-01 1.97816759e-01
 1.93650216e-01 1.42909750e-01 1.69161126e-01 8.48438144e-02
 6.09457530e-02 1.53854545e-02 8.58193089e-04 6.85984734e-03
 1.03159631e-02 2.06466280e-02 1.04713868e-02 3.24389315e-03
 3.91061511e-03 2.93935742e-03 2.83187721e-03 1.37629909e-02
 2.49835849e-02 2.59807650e-02 3.15694772e-02 2.06034966e-02
 1.89236160e-02 1.56134451e-02 1.55040529e-02 1.58655979e-02
 1.26762167e-02 6.95065409e-03 3.88650922e-03 1.84332801e-03
 9.26898560e-04 9.32108436e-04 3.51571804e-03 1.47559019e-02
 1.38031021e-02 7.23098777e-03 8.13501328e-03 6.02606125e-03
 2.74763256e-03 2.06823531e-03 4.76330006e-03 3.94367147e-03
 1.59957900e-03 4.16957447e-03 5.97759057e-03 6.96089584e-04
 4.47358208e-04 6.52150775e-04 1.07843208e-03 4.06084757e-04
 1.44912381e-04 4.13711532e-04 4.51875676e-04 4.24521626e-04
 3.61920655e-04 2.34394029e-04 1.20158591e-04 1.61798001e-04
 1.80869145e-04 2.19415582e-04 1.48161998e-04 1.00727830e-05]",fear
"[5.79575403e-03 5.38346311e-03 5.56161022e-03 7.19583547e-03
 1.64327677e-02 2.37131752e-02 1.14777237e-01 2.47367144e+00
 8.50055313e+00 4.53975716e+01 7.49684982e+01 4.98511467e+01
 2.40957298e+01 1.09364772e+00 5.97919106e-01 2.70641506e-01
 1.44088793e+00 2.70614171e+00 3.84135127e+00 1.61198750e+01
 2.96924858e+01 2.26379032e+01 6.49509764e+00 6.27216721e+00
 1.53011789e+01 9.57913208e+00 3.84329367e+00 3.78428507e+00
 2.22377539e+00 6.48950994e-01 5.84658563e-01 1.31622195e+00
 1.79090202e+00 1.06279314e+00 3.15072715e-01 1.45917690e+00
 5.05729198e+00 9.73993683e+00 5.17331409e+00 8.60957146e-01
 5.96333122e+00 5.74461985e+00 1.03462911e+00 8.20109844e-01
 9.43686485e-01 1.20685589e+00 1.15882337e+00 1.19601738e+00
 1.53957164e+00 3.60456777e+00 1.13616908e+00 2.25990131e-01
 1.36747330e-01 2.32762709e-01 7.52558470e-01 3.78254801e-01
 1.75941959e-01 2.12766126e-01 1.84543520e-01 3.63214105e-01
 7.70848870e-01 6.68361247e-01 5.62232174e-02 3.93153250e-01
 3.05670428e+00 3.58459496e+00 8.12575817e-01 2.55967796e-01
 3.88242811e-01 1.21389842e+00 1.14981246e+00 1.84271574e-01
 2.02453986e-01 3.04299384e-01 1.67151466e-01 4.48396243e-02
 2.41504852e-02 5.80300577e-02 7.95202181e-02 3.98579948e-02
 9.08233821e-02 7.51896128e-02 4.01128009e-02 3.97690870e-02
 5.09421229e-02 2.83045787e-02 1.95099059e-02 1.59706976e-02
 2.97246780e-02 5.25329486e-02 6.96530566e-02 5.35198711e-02
 1.72361005e-02 6.74717268e-03 6.01951731e-03 6.95019821e-03
 5.56763960e-03 3.97319952e-03 4.38533863e-03 5.10606496e-03
 8.39868374e-03 9.05983895e-03 1.15183899e-02 1.09704128e-02
 7.33781559e-03 7.56790722e-03 1.97427515e-02 1.90867987e-02
 1.10052703e-02 2.13906672e-02 2.51626633e-02 1.35296760e-02
 7.03693554e-03 9.58596449e-03 8.33108742e-03 7.95423053e-03
 9.73721314e-03 6.68602716e-03 4.12527611e-03 4.55572829e-03
 9.04313661e-03 3.73773347e-03 2.26933509e-03 9.44643980e-04
 1.44116522e-03 2.58502993e-03 2.12044711e-03 2.92566023e-04]",fear
"[5.53345599e-04 1.57730223e-03 3.95786716e-03 9.69929341e-03
 3.78734507e-02 2.45575771e-01 4.58019066e+00 2.65084000e+01
 3.98840094e+00 3.18692118e-01 6.37608051e-01 6.00253344e-01
 7.27569401e-01 1.54743826e+00 2.90091896e+00 5.10039234e+00
 1.29421687e+00 6.88698053e-01 3.17282021e-01 2.39253148e-01
 1.74860448e-01 1.61796108e-01 6.93581700e-02 1.85708821e-01
 6.19785190e-01 9.76271927e-01 8.86643529e-01 1.03048420e+00
 4.08430785e-01 1.10874161e-01 7.96156451e-02 4.53611821e-01
 9.82404888e-01 4.57964569e-01 1.64089471e-01 6.25520766e-01
 2.00854850e+00 2.91373062e+00 3.98029113e+00 5.84761190e+00
 3.60483670e+00 2.59505963e+00 5.67326498e+00 2.59642673e+00
 2.47296333e+00 5.00337887e+00 3.23151541e+00 1.55716813e+00
 1.01573658e+00 4.50137675e-01 4.29401070e-01 2.61635065e-01
 3.97944808e-01 2.55477816e-01 1.33858681e-01 3.12530324e-02
 3.36555541e-02 2.52553187e-02 3.00539900e-02 1.47038354e-02
 3.66538167e-02 3.11492104e-02 3.57662626e-02 5.62933311e-02
 1.21396787e-01 1.22129589e-01 1.37447551e-01 1.13119721e-01
 1.44962475e-01 1.14718907e-01 7.81868994e-02 6.34169206e-02
 6.06266782e-02 2.57748440e-02 8.00953899e-03 7.65313022e-03
 9.72483959e-03 3.85149308e-02 2.99892295e-02 8.06098804e-03
 1.48920771e-02 1.46338437e-02 1.27329314e-02 2.84341369e-02
 5.18912412e-02 2.54707038e-02 2.50296071e-02 3.10139693e-02
 2.31700800e-02 2.52970867e-02 2.49079876e-02 7.83110857e-02
 3.53753828e-02 5.53804915e-03 2.41064536e-03 1.19673170e-03
 9.08784918e-04 1.07488886e-03 1.95123989e-03 4.71891696e-03
 7.09349615e-03 1.15664275e-02 1.04628885e-02 1.58384815e-02
 1.04864556e-02 6.68177102e-03 3.67035456e-02 2.34494377e-02
 8.78896751e-03 1.77582670e-02 2.36767866e-02 4.15787427e-03
 5.24292991e-04 1.07426755e-03 5.20854199e-04 6.14579185e-04
 8.14052357e-04 5.91946649e-04 8.28351360e-04 2.23228522e-03
 9.90607659e-04 6.61427679e-04 3.39772349e-04 2.72441743e-04
 4.53070505e-04 1.03315176e-03 6.28952344e-04 4.71037893e-05]",disgust
"[2.33234419e-03 9.24839452e-03 8.15639086e-03 2.74479203e-03
 5.90110710e-03 3.06403309e-01 1.48061752e+00 3.86045313e+00
 2.24399281e+00 1.76048577e+00 5.49250722e-01 1.20062359e-01
 1.00278604e+00 3.16506171e+00 6.58374739e+00 3.34458280e+00
 1.44234800e+00 1.41596687e+00 2.19703341e+00 6.02520990e+00
 2.44534349e+00 8.00668955e-01 1.62483498e-01 1.88655362e-01
 5.72928607e-01 8.43539536e-01 2.30927205e+00 3.28730440e+00
 4.92830396e-01 1.98157996e-01 1.68210357e-01 8.17350507e-01
 1.26861680e+00 7.56018162e-01 5.13513803e-01 4.13833767e-01
 3.44237041e+00 1.63039665e+01 1.08934097e+01 6.90338612e+00
 4.50409794e+00 3.00396991e+00 2.40340281e+00 2.23696423e+00
 3.96304011e+00 2.76141548e+00 3.24821997e+00 3.18142891e+00
 7.77558267e-01 6.51091695e-01 6.59836650e-01 1.78682730e-01
 6.02648616e-01 3.46716344e-01 1.59567773e-01 2.14706987e-01
 3.80398214e-01 2.22524837e-01 6.18509129e-02 1.06061757e-01
 3.68707925e-01 1.54267296e-01 4.41463441e-01 4.69534695e-01
 4.52980727e-01 3.99081081e-01 4.34722304e-01 7.80610561e-01
 1.31517398e+00 8.89065623e-01 5.19922674e-01 5.97841680e-01
 4.09589291e-01 7.06382319e-02 1.39507763e-02 2.08717454e-02
 2.24967264e-02 2.99888551e-02 7.40016252e-02 6.76182434e-02
 7.97802396e-03 5.54536656e-03 6.12947159e-03 1.44707039e-02
 2.76629068e-02 2.78585795e-02 5.57011440e-02 1.03568740e-01
 7.10172355e-02 1.06011905e-01 1.25498459e-01 8.72360691e-02
 2.08401214e-02 4.70000878e-03 1.15754968e-03 2.16962697e-04
 1.83664175e-04 3.88680841e-04 6.16246078e-04 9.28456255e-04
 2.10317736e-03 3.80519754e-03 9.44358669e-03 6.23890711e-03
 6.92165410e-03 4.50267829e-03 5.24715614e-03 2.53344164e-03
 4.85639833e-03 5.20405965e-03 3.25070112e-03 2.60300166e-03
 2.10967683e-03 1.14331441e-03 9.94292204e-04 4.01088793e-04
 3.60149919e-04 3.95448413e-04 5.49264601e-04 7.94392428e-04
 1.22269639e-03 6.25133398e-04 7.43236742e-04 5.85916103e-04
 4.35330672e-04 7.52938387e-04 3.40625236e-04 2.49265013e-05]",disgust
