speech,labels
"[1.55269261e-02 2.33229417e-02 4.60259579e-02 8.60614628e-02
 8.10468376e-01 1.49846325e+01 2.40185623e+01 8.81890717e+01
 8.18655701e+01 2.82192230e+01 2.45293713e+01 1.38263788e+01
 6.17349911e+00 2.12772512e+00 3.84273350e-01 6.79689825e-01
 5.24454403e+00 5.89639711e+00 1.71252670e+01 4.25040779e+01
 2.06304798e+01 5.25960875e+00 9.43832779e+00 3.19309921e+01
 3.22121353e+01 2.53508415e+01 9.60971737e+00 4.22869301e+00
 3.16560030e+00 9.28380549e-01 8.99354458e-01 1.90171480e+00
 4.35876751e+00 1.44982090e+01 3.55541840e+01 5.30948868e+01
 2.23614445e+01 1.81659679e+01 7.61318159e+00 5.66054630e+00
 4.59199333e+00 7.44544029e+00 1.48932447e+01 6.85727310e+00
 2.58903861e+00 4.72372437e+00 3.43629193e+00 2.05525160e+00
 5.91881800e+00 6.44005299e+00 3.16888428e+00 1.49510920e+00
 8.17376518e+00 1.18262672e+01 5.63526011e+00 7.46611738e+00
 8.68217659e+00 3.34018278e+00 2.16955447e+00 3.56265569e+00
 3.09314871e+00 4.16119337e+00 5.56380749e+00 5.52323914e+00
 5.49083090e+00 2.46781063e+00 5.88571012e-01 5.07686019e-01
 5.90871274e-01 3.06661934e-01 1.32340133e-01 1.09348074e-01
 1.44814149e-01 2.68497229e-01 2.66618758e-01 2.19512001e-01
 1.76728845e-01 1.88480109e-01 1.00129068e-01 2.28702366e-01
 3.18392932e-01 2.54302502e-01 2.29777500e-01 1.31371856e-01
 1.63581848e-01 2.57928520e-01 2.12625980e-01 2.01755866e-01
 1.70879379e-01 7.30589405e-02 5.85670993e-02 4.60314080e-02
 5.25851175e-02 4.22621928e-02 5.36193885e-02 4.51058261e-02
 3.35582867e-02 3.09873186e-02 5.77098243e-02 5.75566590e-02
 9.17229876e-02 3.20352539e-02 2.72454526e-02 3.23987491e-02
 3.09350677e-02 2.47079730e-02 4.65695299e-02 6.55569434e-02
 1.09840214e-01 1.05394915e-01 6.50355518e-02 4.97085191e-02
 2.16696970e-02 1.58690456e-02 6.79384917e-03 4.96709859e-03
 1.16998320e-02 4.06408310e-03 7.40781799e-03 1.00628342e-02
 8.85241572e-03 4.45193006e-03 4.97826515e-03 3.97925964e-03
 3.93998297e-03 4.28214297e-03 3.01838666e-03 2.80133187e-04]",anger
"[2.22894307e-02 2.69960817e-02 6.07931539e-02 8.12466145e-02
 2.78120577e-01 5.55706358e+00 4.02350922e+01 2.05102432e+02
 8.35167084e+01 1.21169872e+01 1.36216831e+01 1.41910744e+01
 7.58388853e+00 5.70863008e+00 1.27814674e+00 3.26307392e+00
 3.79562402e+00 1.63054359e+00 9.51051617e+00 3.50947227e+01
 2.58697052e+01 7.53610182e+00 7.41623116e+00 2.56222229e+01
 3.70388412e+01 1.40532436e+01 7.40978241e+00 4.71181440e+00
 1.13837075e+00 6.82547808e-01 2.97628188e+00 7.79262543e+00
 1.01470594e+01 6.17755222e+00 1.48110189e+01 5.85766258e+01
 8.17002487e+01 4.65179901e+01 2.67397232e+01 2.46345234e+01
 2.36592274e+01 1.36505919e+01 7.53518581e+00 1.77304673e+00
 5.88468194e-01 1.34417069e+00 9.27028942e+00 7.10037184e+00
 1.98791826e+00 1.31857538e+00 4.58210021e-01 1.08412099e+00
 4.18935013e+00 5.69966507e+00 1.22967196e+01 1.63831024e+01
 1.07096386e+01 7.48329353e+00 3.11227083e+00 1.68105888e+00
 1.60900748e+00 2.95143223e+00 6.09330273e+00 4.90316582e+00
 1.36215723e+00 1.43711627e+00 7.28920221e-01 8.80027115e-01
 5.95187187e-01 6.15037918e-01 3.10619026e-01 3.40456247e-01
 1.36797535e+00 8.88227344e-01 4.52743262e-01 4.32424217e-01
 2.69106895e-01 4.45227146e-01 1.67781800e-01 3.26610744e-01
 9.30262148e-01 7.72851825e-01 2.01860443e-01 2.26964951e-01
 4.33252871e-01 2.57862359e-01 2.53701091e-01 9.93894577e-01
 3.66976887e-01 2.20508039e-01 1.96412191e-01 9.91659537e-02
 6.32395372e-02 1.39395863e-01 3.07129603e-02 7.07559213e-02
 7.51165971e-02 4.26053442e-02 8.14903900e-02 9.48954076e-02
 9.68653187e-02 3.53222042e-02 5.65255359e-02 6.50632605e-02
 4.23109606e-02 3.02966293e-02 4.25612293e-02 6.75766766e-02
 8.67918432e-02 6.85880929e-02 5.81343211e-02 4.39152792e-02
 3.02025992e-02 1.42653435e-02 4.47786506e-03 3.54517857e-03
 4.04267060e-03 2.99283839e-03 4.13765246e-03 5.00404648e-03
 3.53769469e-03 6.01937389e-03 4.16005403e-03 3.72070330e-03
 2.06072349e-03 1.96110597e-03 1.38658960e-03 1.72324493e-04]",anger
"[3.26372124e-02 2.03699600e-02 1.87403522e-02 2.19122041e-02
 8.75309765e-01 9.32180405e+00 2.54428368e+01 7.63795395e+01
 6.03977470e+01 2.65040226e+01 1.94144173e+01 2.36737690e+01
 1.93390255e+01 3.40194201e+00 3.54362082e+00 7.34960747e+00
 6.46510935e+00 1.49708385e+01 4.84998741e+01 8.32242508e+01
 5.86131592e+01 3.82312737e+01 2.18726349e+01 8.28729820e+00
 2.98904705e+01 3.84303818e+01 8.46917057e+00 8.03528690e+00
 1.06387129e+01 9.71117210e+00 5.27534676e+00 3.57273555e+00
 5.75111198e+00 2.85970902e+00 5.15468955e-01 8.86513233e-01
 6.67215586e+00 9.02720642e+00 1.98858929e+00 2.09049153e+00
 3.15798521e+00 4.94823837e+00 3.24732113e+00 1.91826415e+00
 8.78050506e-01 7.84252524e-01 1.28714550e+00 6.64191055e+00
 7.33730555e+00 4.27599669e+00 7.02236891e+00 4.22405958e+00
 2.27386427e+00 6.15763521e+00 4.58946419e+00 3.49085689e+00
 8.35020161e+00 9.75932026e+00 1.68218460e+01 2.38128300e+01
 2.44542980e+01 3.29713669e+01 4.55899658e+01 2.68372383e+01
 1.65827389e+01 2.07727795e+01 1.67078362e+01 1.72898140e+01
 1.69372368e+01 1.96700573e+01 2.32547626e+01 1.21380558e+01
 4.61755943e+00 2.01850104e+00 2.34342384e+00 1.58685589e+00
 1.40203476e+00 3.51849794e+00 1.67976837e+01 2.96255474e+01
 7.39317608e+00 1.15207071e+01 5.37755823e+00 2.06735253e+00
 1.82099926e+00 4.40824127e+00 3.47407460e+00 1.50721407e+00
 1.72548962e+00 2.99973536e+00 4.75315046e+00 5.71011639e+00
 3.77569652e+00 2.14836502e+00 1.53438151e+00 1.66198850e+00
 1.93941188e+00 1.67359960e+00 2.50447106e+00 4.69094467e+00
 2.05351567e+00 1.66785729e+00 1.33488131e+00 4.71512139e-01
 4.05023187e-01 2.53371358e-01 2.07228854e-01 2.05912739e-01
 3.24714959e-01 4.15132344e-01 3.55795830e-01 2.34548092e-01
 1.82243556e-01 1.45188317e-01 9.44277123e-02 6.94941878e-02
 4.48261388e-02 6.09704107e-02 6.51108623e-02 8.25477019e-02
 5.00280634e-02 4.70267944e-02 5.86877838e-02 6.32233024e-02
 4.49704304e-02 4.46667969e-02 2.67209336e-02 2.15663831e-03]",anger
"[2.37404611e-02 1.93673652e-02 3.26184332e-02 5.12188785e-02
 2.27647692e-01 4.17796183e+00 4.42028465e+01 7.48535767e+01
 3.61447906e+01 1.55017176e+01 1.17667856e+01 5.62642288e+00
 9.22122478e+00 6.76842594e+00 6.46061659e+00 7.18401718e+00
 1.26591454e+01 6.63056870e+01 1.30608551e+02 3.39209023e+01
 8.98066807e+00 1.86001911e+01 2.70151463e+01 1.02885399e+01
 2.05250854e+01 5.50248184e+01 4.19033012e+01 2.52572708e+01
 1.06329594e+01 5.53038836e+00 2.32323980e+00 7.01308429e-01
 7.14669883e-01 6.97621942e-01 6.61306620e-01 3.34415960e+00
 1.26352882e+01 7.22777462e+00 8.94530201e+00 6.02628136e+00
 3.38879037e+00 8.00707912e+00 3.40113378e+00 4.53645349e-01
 3.92791331e-01 7.21581280e-01 1.73807180e+00 2.67724323e+00
 1.27369242e+01 1.01918583e+01 9.40873241e+00 1.73481858e+00
 1.54760253e+00 1.62758970e+00 2.23643184e+00 6.18952036e+00
 6.24903631e+00 2.51913309e+00 2.53671241e+00 5.31678963e+00
 3.00980067e+00 3.21718955e+00 1.08029003e+01 1.22445536e+01
 2.61765919e+01 1.64130859e+01 1.08521347e+01 1.40429068e+01
 8.04874325e+00 1.32402878e+01 2.30172729e+01 1.56493435e+01
 2.63917136e+00 1.38314223e+00 1.44789457e+00 1.76257062e+00
 1.74955690e+00 7.88661671e+00 1.13152609e+01 1.32172756e+01
 6.96468019e+00 7.81476212e+00 5.39720106e+00 3.51377201e+00
 2.29381084e+00 2.71725678e+00 2.49130297e+00 2.40350914e+00
 2.07999825e+00 2.94431949e+00 3.39296031e+00 2.25632405e+00
 1.16779888e+00 8.34398627e-01 7.38573909e-01 2.65591741e-01
 3.61557871e-01 9.16768193e-01 7.18538046e-01 1.01722872e+00
 1.12008393e+00 7.28455305e-01 9.35945988e-01 4.15789306e-01
 2.88911760e-01 3.33446383e-01 1.95250034e-01 2.49821618e-01
 4.50918734e-01 6.46624148e-01 4.19737279e-01 3.18607956e-01
 1.70190692e-01 1.15980171e-01 4.34917845e-02 3.68290953e-02
 2.46237256e-02 3.60074863e-02 3.71570550e-02 3.81791033e-02
 3.39948647e-02 4.75455076e-02 4.11917493e-02 3.14304121e-02
 3.01519055e-02 2.39257030e-02 1.57220811e-02 2.04017549e-03]",anger
"[9.72170606e-02 3.74641158e-02 2.79007163e-02 4.19129767e-02
 8.59653234e-01 8.35171509e+00 7.12607193e+00 2.13186455e+01
 1.25240334e+02 1.94585815e+02 1.27901367e+02 4.85512352e+01
 1.98486271e+01 6.96116781e+00 1.85538399e+00 9.90817487e-01
 4.79681730e+00 2.12547226e+01 5.98777733e+01 9.29275436e+01
 8.21207352e+01 5.91709328e+01 4.23717270e+01 3.53791695e+01
 4.44828377e+01 4.66067963e+01 4.86205330e+01 5.44846458e+01
 4.35521088e+01 1.99911575e+01 1.24335184e+01 2.17064309e+00
 8.37353051e-01 5.13581991e-01 1.05825412e+00 3.09120178e+00
 8.29126835e+00 1.19072695e+01 4.71586342e+01 3.64976044e+01
 1.54806242e+01 6.56331110e+00 2.48672485e+00 1.21315110e+00
 5.84637880e-01 9.70727384e-01 2.60274291e+00 1.52972145e+01
 4.82876740e+01 5.63159637e+01 2.66393871e+01 7.37935638e+00
 4.73163939e+00 4.35763884e+00 1.17558775e+01 4.63116608e+01
 8.85820580e+00 3.26151347e+00 5.15683365e+00 1.12695246e+01
 3.91233253e+01 4.66266479e+01 2.22719822e+01 1.41042824e+01
 6.70217896e+00 7.89310837e+00 9.27727413e+00 2.37201905e+00
 9.87739861e-01 1.34791720e+00 2.08743620e+00 7.54364252e-01
 7.39333928e-01 1.05229425e+00 1.19718790e+00 9.06810284e-01
 9.75290477e-01 3.59816074e+00 6.02671289e+00 8.37591076e+00
 4.77376509e+00 1.29500427e+01 4.61685181e+00 3.41049075e+00
 3.20829010e+00 4.45489597e+00 3.04751706e+00 2.79298806e+00
 1.35324609e+00 2.03569674e+00 3.21349454e+00 1.21528506e+00
 1.39732945e+00 4.57425356e-01 5.03970861e-01 3.26620132e-01
 6.20729387e-01 5.22059739e-01 4.18776751e-01 3.06058437e-01
 3.50467235e-01 4.25737888e-01 3.74305874e-01 2.26027071e-01
 1.59129724e-01 1.30153850e-01 2.06906959e-01 3.93390328e-01
 3.70580703e-01 4.22543615e-01 3.81274730e-01 1.99349120e-01
 1.28658548e-01 7.65844062e-02 3.90985981e-02 5.70616610e-02
 4.11396325e-02 4.49308418e-02 2.62305215e-02 3.01937889e-02
 2.44365316e-02 3.55268382e-02 3.12933438e-02 2.46250108e-02
 2.65237913e-02 2.78022885e-02 1.86839458e-02 1.75501406e-03]",anger
"[5.95723502e-02 2.21718699e-02 1.77156348e-02 3.42285782e-02
 2.04984978e-01 2.62501001e+00 5.74338388e+00 3.33223457e+01
 1.50494781e+02 1.31664917e+02 6.07025909e+01 1.31770134e+01
 7.65062284e+00 5.38046265e+00 8.52435589e-01 5.32884061e-01
 4.32925844e+00 2.97517338e+01 9.00625534e+01 1.22034813e+02
 6.68857803e+01 2.47089520e+01 7.76090288e+00 1.78321791e+00
 8.46902752e+00 4.63998299e+01 4.89099426e+01 7.31998062e+01
 3.75908470e+01 6.05092192e+00 2.62995505e+00 1.40597093e+00
 9.07837212e-01 2.55661458e-01 2.48446897e-01 2.93486047e+00
 2.26264133e+01 2.21023502e+01 5.01579714e+00 8.58768654e+00
 3.94430733e+01 2.49004288e+01 2.20595574e+00 1.86625385e+00
 2.32077694e+00 1.40465605e+00 5.79677284e-01 2.29185104e+00
 5.40895319e+00 1.09486122e+01 1.42409430e+01 1.99069691e+01
 4.48560810e+00 2.68314528e+00 1.94378793e+00 2.74889302e+00
 9.73032093e+00 2.25134830e+01 1.93916092e+01 2.76990738e+01
 2.05514565e+01 1.73149700e+01 2.57771759e+01 1.98841934e+01
 5.97669840e+00 5.24500322e+00 5.31715250e+00 3.84366798e+00
 1.09863603e+00 1.52198327e+00 2.85443974e+00 2.70945859e+00
 1.55971766e+00 7.83728838e-01 1.37737143e+00 1.51753056e+00
 2.02175999e+00 3.63282394e+00 9.36688137e+00 1.67966213e+01
 6.34692430e+00 4.51345444e+00 3.27837300e+00 3.39007831e+00
 3.50904727e+00 6.51748514e+00 6.69476366e+00 5.64206076e+00
 3.45515227e+00 3.08314800e+00 3.28276062e+00 5.46991301e+00
 2.65527868e+00 1.04164171e+00 5.23029745e-01 4.34784502e-01
 2.37995028e-01 2.77804881e-01 3.07502776e-01 5.10687172e-01
 8.54275405e-01 7.90214360e-01 4.37300682e-01 4.98411268e-01
 2.63578802e-01 3.47665459e-01 4.49202210e-01 9.01357949e-01
 1.10415089e+00 1.32512701e+00 8.48039329e-01 2.69847125e-01
 1.59398064e-01 1.33072883e-01 7.79154673e-02 8.37464556e-02
 7.13613033e-02 7.85790831e-02 5.93916178e-02 4.82897162e-02
 3.91170979e-02 4.28275727e-02 3.50848995e-02 3.86719108e-02
 2.65033562e-02 2.58258674e-02 1.52944224e-02 9.58193268e-04]",anger
"[3.87743823e-02 2.12921184e-02 2.07019728e-02 4.27640751e-02
 3.47384363e-01 5.98821640e+00 2.59282017e+01 7.35051956e+01
 1.04634872e+02 5.51304359e+01 2.24950466e+01 1.92543678e+01
 3.44270096e+01 1.81258240e+01 9.26325607e+00 2.12509232e+01
 2.21901379e+01 2.39226913e+01 2.22944565e+01 1.53618574e+01
 6.35932827e+00 9.08435154e+00 1.07249546e+01 9.46872044e+00
 4.89469948e+01 1.23412155e+02 1.76668701e+02 2.16176891e+01
 3.35687113e+00 6.21222544e+00 1.07205906e+01 1.07752323e+01
 1.05691576e+01 4.37994957e+00 1.65941060e+00 3.57858944e+00
 1.85640888e+01 2.01688385e+01 1.22799063e+01 1.35455866e+01
 7.75757456e+00 2.17440510e+01 1.24874001e+01 1.52560186e+00
 2.38245562e-01 5.60107589e-01 1.34976196e+00 1.27898111e+01
 2.87791691e+01 1.12554188e+01 1.67703419e+01 4.36606407e+00
 3.16361475e+00 2.47654939e+00 4.42652845e+00 3.40603209e+00
 3.06236219e+00 2.31862497e+00 2.78743172e+00 3.56176591e+00
 1.80875409e+00 1.83975208e+00 3.20776391e+00 4.90803480e+00
 1.27982588e+01 1.93524609e+01 7.24478388e+00 1.23640954e+00
 4.16196972e-01 1.22399628e+00 2.49001193e+00 3.46970963e+00
 5.63808084e-01 9.68637913e-02 8.67419168e-02 2.22124770e-01
 3.40359092e-01 7.51979887e-01 1.01760888e+00 2.18291116e+00
 2.37436938e+00 3.46876502e+00 9.70402181e-01 9.49862301e-01
 1.42901146e+00 1.55435669e+00 1.47471416e+00 3.16756320e+00
 2.14734221e+00 7.67862737e-01 1.05912149e+00 5.09590924e-01
 1.63893104e-01 9.08876583e-02 1.14242025e-01 1.57427400e-01
 3.76338899e-01 3.18067849e-01 2.39738360e-01 3.56940627e-01
 1.08396798e-01 5.01427278e-02 1.10463925e-01 4.70037274e-02
 9.69865099e-02 5.92067130e-02 6.17864542e-02 4.92848121e-02
 6.16572052e-02 8.54849741e-02 1.18840300e-01 7.10830390e-02
 1.52789429e-01 6.82853237e-02 2.37181094e-02 1.33250477e-02
 9.82079469e-03 1.24826990e-02 1.53250303e-02 1.68199930e-02
 1.36559708e-02 1.04933111e-02 1.03699593e-02 5.49451029e-03
 7.79599510e-03 5.14293835e-03 2.37606443e-03 2.29881611e-04]",anger
"[4.10029963e-02 1.75262392e-02 3.25802751e-02 3.51759195e-02
 1.65209398e-01 5.16204929e+00 2.00764446e+01 5.12558517e+01
 1.06719460e+02 2.10937729e+02 8.36610413e+01 2.02560062e+01
 1.45964022e+01 7.04866743e+00 5.65998793e+00 1.01213617e+01
 1.12780857e+01 5.15594292e+01 1.23059715e+02 1.03298676e+02
 1.53192425e+01 1.14997768e+01 1.19019985e+01 1.91790104e+01
 9.31124344e+01 1.70038605e+02 1.08595497e+02 1.75220299e+01
 1.39381561e+01 9.64186382e+00 1.27484913e+01 1.64427509e+01
 2.76437244e+01 8.40292549e+00 1.49216557e+00 1.20210803e+00
 4.39978218e+00 6.75676346e+00 2.19345531e+01 1.02048866e+02
 4.53027534e+01 4.76706457e+00 2.35654283e+00 2.73539639e+00
 2.37706280e+00 8.20635986e+00 1.61771927e+01 1.65541744e+01
 1.87921925e+01 2.75647449e+01 2.53359413e+01 1.22955551e+01
 2.89105272e+00 1.19650936e+00 3.90513825e+00 8.79074860e+00
 6.34564400e+00 3.41792941e+00 6.98023033e+00 5.74658394e+00
 6.62375927e+00 6.47525167e+00 3.43167067e+00 6.88331127e+00
 6.94075012e+00 6.98163509e+00 2.56714082e+00 1.10283744e+00
 7.12149084e-01 2.90882325e+00 2.50659752e+00 1.30789316e+00
 5.87082207e-01 3.56287867e-01 3.37057501e-01 4.90918070e-01
 6.32076919e-01 1.56346977e+00 4.25874090e+00 7.49291801e+00
 5.33555174e+00 6.42094994e+00 7.99535608e+00 5.02712965e+00
 2.30175710e+00 1.27787161e+00 8.58869433e-01 2.69633985e+00
 2.57344246e+00 4.04754162e-01 5.91162145e-01 1.86622214e+00
 7.76331246e-01 3.28327000e-01 6.34473622e-01 7.35767126e-01
 1.50720191e+00 1.04368782e+00 1.24500954e+00 1.86288998e-01
 7.87908584e-02 1.13338768e-01 1.39726013e-01 9.17617679e-02
 2.39740670e-01 1.46193832e-01 1.06584556e-01 9.06201154e-02
 7.00939596e-02 6.52377158e-02 9.17640775e-02 4.38084267e-02
 9.22081023e-02 7.48358667e-02 4.53223996e-02 2.83777826e-02
 3.53616960e-02 2.63894331e-02 2.84058843e-02 2.67573129e-02
 2.12095957e-02 1.64913964e-02 1.79043021e-02 1.50696551e-02
 1.63500085e-02 1.46314390e-02 9.50040948e-03 8.61169596e-04]",anger
"[4.39929292e-02 5.95107563e-02 9.79666933e-02 8.78285393e-02
 7.67576456e-01 1.92297573e+01 5.96361885e+01 1.08258064e+02
 2.52623199e+02 2.36609497e+02 1.34127838e+02 4.40704994e+01
 1.61415691e+01 5.46198463e+00 7.70598769e-01 5.87385118e-01
 4.58137131e+00 3.80940895e+01 1.10325172e+02 7.07898026e+01
 1.31739435e+01 2.31439018e+01 1.82578545e+01 2.22047787e+01
 2.60001221e+01 1.07248144e+01 2.59565139e+00 3.04299664e+00
 4.48116636e+00 2.75870776e+00 2.87728858e+00 1.18839741e+00
 1.61745238e+00 3.03658605e-01 3.68886530e-01 2.60843635e+00
 4.15275688e+01 2.67788563e+01 1.96358240e+00 5.82659864e+00
 8.63586712e+00 7.00069380e+00 3.32626104e+00 4.47902769e-01
 1.71851054e-01 5.38294137e-01 1.74365389e+00 7.50316715e+00
 1.19915504e+01 7.32240915e+00 8.26545811e+00 1.72961056e+00
 7.04658091e-01 1.54325366e+00 4.59369373e+00 2.49501686e+01
 1.59988718e+01 6.00963545e+00 5.50819445e+00 1.43000803e+01
 1.74421787e+01 2.94468727e+01 6.71857834e+01 6.99338455e+01
 1.41019735e+01 8.36174107e+00 4.36200094e+00 3.85736489e+00
 5.55622911e+00 2.89004517e+00 2.47023082e+00 2.93866825e+00
 1.88732791e+00 2.36309242e+00 8.49235475e-01 8.63805592e-01
 2.14830256e+00 3.83039761e+00 2.94522834e+00 5.23422861e+00
 3.50623631e+00 9.78419185e-01 8.77205729e-01 1.70429897e+00
 1.64389038e+00 2.19254518e+00 1.71823967e+00 1.47982323e+00
 1.10835934e+00 1.30863512e+00 2.13271832e+00 1.18315256e+00
 4.67960358e-01 2.19553158e-01 7.62981653e-01 2.86126375e-01
 2.17044413e-01 3.12476158e-01 1.56764850e-01 2.91749507e-01
 2.05058426e-01 1.54031813e-01 1.51418298e-01 9.35585797e-02
 1.11975722e-01 7.48109296e-02 3.83805297e-02 4.26792614e-02
 5.28869852e-02 9.93618742e-02 8.92391726e-02 4.34995405e-02
 3.64134647e-02 3.32693979e-02 1.87557302e-02 9.52214748e-03
 1.25293229e-02 8.41946062e-03 1.13948956e-02 1.17703965e-02
 6.80669444e-03 7.14202737e-03 7.61938794e-03 6.79610716e-03
 4.26910538e-03 4.33061784e-03 2.79699033e-03 3.09759256e-04]",anger
"[6.42218217e-02 5.85156195e-02 8.26595053e-02 1.23877347e-01
 9.33594704e-01 1.55127993e+01 6.24066505e+01 1.80225418e+02
 3.69064941e+02 1.44451340e+02 1.25430269e+01 3.30522275e+00
 6.92467308e+00 5.04768372e+00 9.16117847e-01 1.97172689e+00
 1.46309767e+01 5.12318382e+01 5.06862221e+01 3.53053551e+01
 6.17062998e+00 1.03700447e+00 7.20377743e-01 9.62874234e-01
 6.20546198e+00 1.63798733e+01 5.15545082e+01 2.98595428e+01
 6.94211817e+00 1.89114630e+00 9.36787128e-01 1.07726777e+00
 1.92399848e+00 4.74009782e-01 1.07731009e+00 5.13521671e+00
 1.67282391e+01 2.19786072e+01 5.90192938e+00 2.69672894e+00
 1.20480692e+00 1.48095930e+00 1.23485136e+00 8.82433593e-01
 3.00182015e-01 8.11259329e-01 1.06166685e+00 1.16118014e+00
 3.11343122e+00 3.09682012e+00 8.36431217e+00 8.01058960e+00
 2.23611569e+00 9.77480471e-01 1.01838839e+00 1.28908372e+00
 6.87778854e+00 6.81193876e+00 7.15008163e+00 5.78503227e+00
 7.59775162e+00 2.52632217e+01 2.28863926e+01 2.01900673e+01
 7.99624872e+00 1.14851351e+01 7.82927847e+00 3.11499953e+00
 1.25618458e+00 2.54306102e+00 2.37828803e+00 1.51453686e+00
 1.27962506e+00 7.37142861e-01 5.34954071e-01 6.87140167e-01
 1.69456661e+00 1.14779024e+01 1.46424217e+01 8.69739914e+00
 2.79286408e+00 3.25878525e+00 2.44255543e+00 1.97809446e+00
 2.00707650e+00 2.30171371e+00 2.83236694e+00 2.03493714e+00
 1.54987955e+00 2.30755973e+00 1.73340261e+00 5.46003282e-01
 1.13022327e-01 8.00514445e-02 9.80385914e-02 8.04423764e-02
 1.13465667e-01 1.02322660e-01 1.43338755e-01 1.95097789e-01
 1.00354291e-01 9.69162211e-02 8.49191919e-02 5.21987341e-02
 4.85576726e-02 5.20582795e-02 4.47763540e-02 6.32217824e-02
 8.49094465e-02 8.44736174e-02 4.39744256e-02 3.42560224e-02
 1.86486673e-02 1.37213096e-02 9.89734475e-03 6.46206737e-03
 4.37247194e-03 5.86991571e-03 5.65456739e-03 4.43480117e-03
 4.13718540e-03 4.64789337e-03 4.83296206e-03 5.41940564e-03
 5.06487349e-03 4.50646691e-03 1.90706237e-03 1.78079586e-04]",anger
